Year,State,University,Sections,Overall Pass %,Average Score,Average Age
2018,Alabama,Alabama state university,15,26.7%,67.5,35.8
2018,Alabama,Athens State University,40,30%,68,35
2018,Alabama,Auburn University,658,65.3%,76.1,25.2
2018,Alabama,Auburn University at Montgomery,50,62.0%,74.1,30.8
2018,Alabama,Birmingham-Southern College,45,40.0%,67.4,24.1
2018,Alabama,Huntingdon College,26,57.7%,73.6,25.3
2018,Alabama,Jacksonville State University,56,53.6%,72.9,31.8
2018,Alabama,Oakwood University,14,64.3%,70.5,24.3
2018,Alabama,Samford University,153,65.4%,76.0,25.7
2018,Alabama,Spring Hill College,43,44.2%,72.8,26.7
2018,Alabama,The University of alabama,948,61.1%,74.8,24.6
2018,Alabama,The University of West Alabama,26,38.5%,64.9,25.7
2018,Alabama,Troy University,174,51.7%,72.0,27.8
2018,Alabama,University of Alabama at Birmingham,237,51.5%,71.5,30.1
2018,Alabama,University of Alabama in Huntsville,72,47.2%,72.0,28.5
2018,Alabama,University of Alabama System Office,11,45.5%,74.7,24.6
2018,Alabama,University of Mobile,22,40.9%,69.9,27.8
2018,Alabama,University of Montevallo,40,37.5%,70.0,25.6
2018,Alabama,University of North Alabama,59,39.0%,68.0,31.1
2018,Alabama,University of South Alabama,133,46.6%,68.5,30.0
2018,Alaska,University of Alaska Anchorage,120,55.8%,72.9,29.4
2018,Alaska,University of Alaska Fairbanks,85,41.2%,69.2,31.4
2018,Alaska,University of Alaska Southeast,18,55.6%,75.2,32.0
2018,Arizona,Arizona State University,740,58.0%,74.0,27.9
2018,Arizona,Devry University-Phoenix campus,16,56.3%,74.5,35.0
2018,Arizona,Grand Canyon University,122,30.3%,62.9,30.1
2018,Arizona,Northern Arizona university,192,57.3%,73.9,28.1
2018,Arizona,University of Arizona,580,58.6%,74.6,26.8
2018,Arizona,University of Phoenix,596,28.7%,63.4,39.7
2018,Arkansas,Arkansas State University-Jonesboro,122,41.8%,68.8,30.1
2018,Arkansas,Arkansas Tech University,72,55.6%,72.4,29.9
2018,Arkansas,Harding University Main Campus,190,44.2%,70.1,26.6
2018,Arkansas,Henderson State University,55,45.5%,66.7,29.8
2018,Arkansas,Hendrix College,41,48.8%,72.6,25.9
2018,Arkansas,John Brown University,26,50.0%,70.3,26.5
2018,Arkansas,Ouachita Baptist University,59,50.8%,71.1,24.4
2018,Arkansas,Southern Arkansas University,40,52.5%,73.2,26.9
2018,Arkansas,University of Arkansas at Fort Smith,44,34.1%,88.8,34.4
2018,Arkansas,University of Arkansas at Little Rock,87,54.0%,71.2,33.9
2018,Arkansas,University of Arkansas at Monticello,30,30.0%,67.7,30.0
2018,Arkansas,University of Arkansas at Pine Bluff,13,46.2%,72.5,36.7
2018,Arkansas,University of Arkansas-Main Campus,410,58.8%,74.6,25.1
2018,Arkansas,University of Central Arkansas,176,46.6%,69.7,28.5
2018,Arkansas,University of the Ozarks,19,42.1%,71.9,28.3
2018,California,American River College,18,66.7%,78.1,34.7
2018,California,Ashford University,32,46.9%,66.5,32.4
2018,California,Azusa Pacific University,111,34.2%,67.8,25.8
2018,California,Biola University,121,47.1%,70.6,25.2
2018,California,Brandman University,12,33.3%,60.8,29.9
2018,California,California Baptist University,54,22.2%,60.3,26.6
2018,California,California Lutheran University,101,39.6%,66.5,29.3
2018,California,California Polytechnic University-San Luis Obispo,624,65.2%,75.9,24.8
2018,California,California State Polytechnic University-Pomona,490,40.2%,68.1,29.2
2018,California,California State University Channel Islands,23,34.8%,67.1,26.9
2018,California,California State University-Bakersfield,105,34.3%,61.8,28.9
2018,California,California State University-Chico,255,54.9%,73.3,27.5
2018,California,California State University-Dominguez Hills,109,21.1,54.5,31.0
2018,California,California State University-East Bay,470,39.1%,66.8,32.9
2018,California,California State University-Fresno,288,37.2%,66.7,28.8
2018,California,California State University-Fullerton,1086,46.0%,70.0,29.6
2018,California,California State University-Long Beach,596,43.1%,68.4,29.0
2018,California,California State University-Los Angeles,410,27.8%,61.8,32.9
2018,California,California State University-Monterey Bay,34,41.2%,66.6,30.0
2018,California,California State University-Northridge,1079,43.1%,68.4,29.8
2018,California,California State University-Sacramento,434,43.3%,68.1,29.4
2018,California,California State University-San Bernardino,269,34.2%,67.9,30.9
2018,California,California State University-San Marcos,178,57.9%,72.9,30.0
2018,California,California State University-Stanislaus,138,36.2%,66.4,31.7
2018,California,Chapman University,162,51.9%,73.1,25.3
2018,California,Clarement McKenna College,44,72.7%,78.7,24.7
2018,California,College of San Mateo,11,18.2%,58.7,25.1
2018,California,De Anza College,33,39.4%,67.9,30.4
2-18,California,Devry University-Pomona Campus,18,27.8%,65.4,39.5
2018,Calfornia,Diablo Valley College,21,38.1%,67.5,33.2
2018,California,El Camino College,12,41.7%,74.5,29.3
2018,California,Foothill College,110,53.6%,71.2,28.3
2018,California,Fresno Pacific University,28,35.7%,66.7,30.5
2018,California,Glendale Community College,17,41.2%,69.1,30.2
2018,California,Golden Gate University,383,41.5%,68.3,34.5
2018,California,Humboldt State University,36,44.4%,69.9,28.1
2018,California,Irvine Valley College,27,51.9%,69.3,26.9
2018,California,La Sierra University,39,38.5%,66.1,27.3
2018,California,Loyola Marymount  University,56,33.9%,68.6,30.4
2018,California,Menlo College,61,24.6%,59.8,25.0
2018,California,Mount Saint Mary's University,31,41.9%,64.7,39.0
2018,California,Mt. San Antonio College,18,61.1%,70.5,29.8
2018,California,National university,109,37.6%,63.7,35.4
2018,California,Notre Dame de Namur University,31,35.5%,65.1,31.0
2018,California,Pacific States University,30,36.7%,65.7,35.9
2018,California,Pepperdine University,21,76.2%,79.1,30.9
2018,California,Point Loma Nazarene University,93,57.0%,71.6,24.8
2018,California,Saddleback College,16,50.0%,68.4,32.9
2018,California,Saint Mary's College of California,171,43.3%,67.3,27.6
2018,California,San Diego State University,647,53.2%,72.2,28.3
2018,California,San Francisco State University,455,44.4%,67.4,30.8
2018,California,San Jose State University,602,40.7%,68.0,29.8
2018,California,Santa Barbara City College,13,69.2%,74.7,30.5
2018,California,Santa Clara University,629,63.0%,74.9,26.3
2018,California,Santa Monica College,45,40.0%,67.6,31.0
2018,California,Simpson University,9,33.3%,71.9,28.8
2018,California,Sonoma State University,218,34.4%,65.0,27.6
2018,California,Stanford University,21,61.9%,73.2,37.7
2018,California,The Master's College and Seminary,15,60.0%,75.1,25.5
2018,California,University of California-Berkeley,523,59.5%,74.3,27.0
2018,California,University of California-Davis,372,54.8%,72.5,27.9
2018,California,University of California-Irvine,617,46.0%,69.5,27.2
2018,California,University of California-Los Angeles,1011,64.5%,75.4,28.0
2018,California,Univesrity of California-Riverside,445,39.1%,68.0,27.2
2018,California,University of California-San Diego,488,54.5%,71.8,26.9
2-18,California,University of California-Santa Barbara,941,62.8%,75.3,25.3
2018,California,University of California-Santa Cruz,292,42.8%,67.7,26.7
2018,California,University of La Verne,121,44.6%,68.3,31.5
2018,California,University of Redlands,114,51.8%,72.5,25.2
2018,California,University of San Diego,461,61.6%,74.7,25.3
2018,California,university of San Francisco,188,43.1%,67.9,27.6
2018,California,University of Southern California,1236,60.8%,75.3,26.1
2018,California,University of the Pacific,95,42.1%,68.5,27.2
2018,California,Vanguard University of Southern California,14,50.0%,73.1,25.3
2018,California,Westmont College,19,52.6%,71.6,31.6
2018,California,Woodbury University,40,22.5%,58.0,32.2
2018,Colorado,Adams State University,18,27.8%,64.7,27.9
2018,Colorado,Colorado Christian University,45,44.4%,68.7,26.6
2018,Colorado,Colorado Mesa University,77,48.1%,70.8,28.5
2018,Colorado,Colorado State University,381,55.9%,74.3,27.1
2018,Colorado,Colorado State University-Global Campus,56,48.2%,71.0,33.6
2018,Colorado,Colorado State University-Pueblo,13,30.8%,65.8,30.2
2018,Colorado,Colorado Technical University,19,21.1%,56.3,36.3
2018,Colorado,Fort Lewis College,63,36.5%,67.1,28.2
2018,Colorado,Metropolitan State University of Denver,127,49.6%,70.7,32.1
2018,Colorado,Regis University,124,45.2%,69.3,33.2
2018,Colorado,University of Colorado Boulder,377,68.4%,77.0,25.7
2018,Colorado,University of Colorado Colorado springs,90,67.8%,76.3,28.9
2018,Colorado,University of Colorado Denver Anschutz Medical Campus,168,54.2%,73.1,32.3
2018,Colorado,University of Colorado System Office,67,56.7%,73.9,28.5
2018,Colorado,University of Denver,330,67.9%,77.7,26.3
2018,Colorado,University of Northern Colorado,130,42.3%,69.0,26.2
